Time,Value
01/12/2012 00:01,3.5
01/12/2012 00:05,2.5
01/12/2012 00:08,1.6
01/12/2012 00:12,2
01/12/2012 00:16,2.7
01/12/2012 00:19,3.2
01/12/2012 00:23,3.7
01/12/2012 00:27,3.2
01/12/2012 00:30,1.3
01/12/2012 00:34,0.8
01/12/2012 00:38,1.6
01/12/2012 00:41,2.5
01/12/2012 00:45,3.1
01/12/2012 00:48,3.6
01/12/2012 00:52,4
01/12/2012 00:55,3
01/12/2012 00:59,1.6
01/12/2012 01:02,1
01/12/2012 01:06,1.6
01/12/2012 01:09,2.5
01/12/2012 01:13,3.1
01/12/2012 01:16,3.6
01/12/2012 01:19,4
01/12/2012 01:24,2.6
01/12/2012 01:27,1.1
01/12/2012 01:31,1.1
01/12/2012 01:34,1.8
01/12/2012 01:37,2.6
01/12/2012 01:41,3.2
01/12/2012 01:45,3.7
01/12/2012 01:48,4
01/12/2012 01:51,2.7
01/12/2012 01:55,1.3
01/12/2012 01:59,1.3
01/12/2012 02:02,2.1
01/12/2012 02:06,2.7
01/12/2012 02:09,3.2
01/12/2012 02:13,3.7
01/12/2012 02:16,3.7
01/12/2012 02:20,1.8
01/12/2012 02:23,0.5
01/12/2012 02:27,1.1
01/12/2012 02:31,2.1
01/12/2012 02:34,2.7
01/12/2012 02:38,3.2
01/12/2012 02:42,3.7
01/12/2012 02:45,4
01/12/2012 02:49,3.5
01/12/2012 02:53,1.3
01/12/2012 02:57,0.8
01/12/2012 03:00,2
01/12/2012 03:04,2.2
01/12/2012 03:07,2.7
01/12/2012 03:11,3.2
01/12/2012 03:15,3.7
01/12/2012 03:19,4
01/12/2012 03:22,3
01/12/2012 03:25,2.1
01/12/2012 03:29,1.8
01/12/2012 03:33,2.2
01/12/2012 03:36,2.2
01/12/2012 03:40,3.1
01/12/2012 03:44,4.2
01/12/2012 03:47,5.2
01/12/2012 03:51,8.5
01/12/2012 03:54,8.5
01/12/2012 03:58,6
01/12/2012 04:02,4.2
01/12/2012 04:05,3.1
01/12/2012 04:09,2.2
01/12/2012 04:13,1.1
01/12/2012 04:16,1.5
01/12/2012 04:20,2.2
01/12/2012 04:23,3
01/12/2012 04:27,3.5
01/12/2012 04:31,3.7
01/12/2012 04:34,3.2
01/12/2012 04:38,1.3
01/12/2012 04:41,0.5
01/12/2012 04:45,1.3
01/12/2012 04:48,2.2
01/12/2012 04:52,2.7
01/12/2012 04:55,3.2
01/12/2012 04:58,3.7
01/12/2012 05:02,3.7
01/12/2012 05:05,2
01/12/2012 05:09,0.5
01/12/2012 05:13,1.1
01/12/2012 05:16,1.8
01/12/2012 05:19,2.7
01/12/2012 05:23,3.2
01/12/2012 05:26,3.7
01/12/2012 05:30,4
01/12/2012 05:34,2.2
01/12/2012 05:37,1.3
01/12/2012 05:41,2.2
01/12/2012 05:45,2.2
01/12/2012 05:48,2.7
01/12/2012 05:52,3.2
01/12/2012 05:55,3.7
01/12/2012 05:59,3.7
01/12/2012 06:02,2.2
01/12/2012 06:06,0.9
01/12/2012 06:10,1.1
01/12/2012 06:13,2.1
01/12/2012 06:17,2.7
01/12/2012 06:20,3.2
01/12/2012 06:23,3.7
01/12/2012 06:27,4
01/12/2012 06:31,2.5
01/12/2012 06:34,1.1
01/12/2012 06:38,1
01/12/2012 06:41,1.8
01/12/2012 06:45,2.5
01/12/2012 06:48,3
01/12/2012 06:52,3.5
01/12/2012 06:56,3.7
01/12/2012 06:59,3.2
01/12/2012 07:03,1.3
01/12/2012 07:06,1.6
01/12/2012 07:10,2.2
01/12/2012 07:14,2.5
01/12/2012 07:17,2.7
01/12/2012 07:21,3.2
01/12/2012 07:24,3.7
01/12/2012 07:28,4
01/12/2012 07:31,2.7
01/12/2012 07:35,2
01/12/2012 07:39,2.2
01/12/2012 07:42,3.6
01/12/2012 07:46,5
01/12/2012 07:49,6
01/12/2012 07:53,8
01/12/2012 07:56,8.3
01/12/2012 08:00,5
01/12/2012 08:03,3.2
01/12/2012 08:07,1.6
01/12/2012 08:11,0.9
01/12/2012 08:14,1.8
