 Time,Value
01/01/2014 00:00,2.8
01/01/2014 01:00,2.55
01/01/2014 02:00,2.25
01/01/2014 03:00,2.4
01/01/2014 04:00,2.9
01/01/2014 05:00,2.7
01/01/2014 06:00,2.7
01/01/2014 07:00,2.5
01/01/2014 08:00,2.25
01/01/2014 09:00,2.7
01/01/2014 10:00,3.3
01/01/2014 11:00,3.15
01/01/2014 12:00,3.05
01/01/2014 13:00,2.95
01/01/2014 14:00,2.75
01/01/2014 15:00,2.75
01/01/2014 16:00,3.25
01/01/2014 17:00,3.1
01/01/2014 18:00,3.05
01/01/2014 19:00,2.95
01/01/2014 20:00,2.55
01/01/2014 21:00,2.7
01/01/2014 22:00,3
01/01/2014 23:00,2.9
02/01/2014 00:00,2.7
02/01/2014 01:00,2.5
02/01/2014 02:00,2.3
02/01/2014 03:00,2.35
02/01/2014 04:00,2.9
02/01/2014 05:00,2.65
02/01/2014 06:00,2.7
02/01/2014 07:00,2.5
02/01/2014 08:00,2.6
02/01/2014 09:00,2.55
02/01/2014 10:00,3.1
02/01/2014 11:00,2.85
02/01/2014 12:00,3
02/01/2014 13:00,3
02/01/2014 14:00,2.65
02/01/2014 15:00,2.8
02/01/2014 16:00,3.35
02/01/2014 17:00,3.1
02/01/2014 18:00,3.15
02/01/2014 19:00,3.05
02/01/2014 20:00,2.95
02/01/2014 21:00,2.8
02/01/2014 22:00,3.1
02/01/2014 23:00,2.95
03/01/2014 00:00,2.5
03/01/2014 01:00,2.3
03/01/2014 02:00,1.95
03/01/2014 03:00,2.05
03/01/2014 04:00,2.55
03/01/2014 05:00,2.55
03/01/2014 06:00,2.4
03/01/2014 07:00,2.4
03/01/2014 08:00,2.15
03/01/2014 09:00,2.35
03/01/2014 10:00,2.7
03/01/2014 11:00,2.8
03/01/2014 12:00,2.7
03/01/2014 13:00,2.65
03/01/2014 14:00,2.45
03/01/2014 15:00,2.55
03/01/2014 16:00,3.15
03/01/2014 17:00,2.75
03/01/2014 18:00,2.75
03/01/2014 19:00,2.45
03/01/2014 20:00,2.5
03/01/2014 21:00,2.55
03/01/2014 22:00,3.05
03/01/2014 23:00,2.85
04/01/2014 00:00,2.65
04/01/2014 01:00,2.55
04/01/2014 02:00,2.2
04/01/2014 03:00,2.1
04/01/2014 04:00,2.65
04/01/2014 05:00,2.6
04/01/2014 06:00,2.45
04/01/2014 07:00,2.35
04/01/2014 08:00,2.35
04/01/2014 09:00,2.35
04/01/2014 10:00,2.9
04/01/2014 11:00,2.75
04/01/2014 12:00,2.8
04/01/2014 13:00,2.8
04/01/2014 14:00,2.55
04/01/2014 15:00,2.65
04/01/2014 16:00,3.15
04/01/2014 17:00,3
04/01/2014 18:00,2.8
04/01/2014 19:00,2.75
04/01/2014 20:00,2.45
04/01/2014 21:00,2.55
04/01/2014 22:00,2.75
04/01/2014 23:00,2.65
05/01/2014 00:00,2.55
05/01/2014 01:00,2.3
05/01/2014 02:00,2.15
05/01/2014 03:00,2.15
05/01/2014 04:00,2.75
05/01/2014 05:00,2.65
05/01/2014 06:00,2.65
05/01/2014 07:00,2.6
05/01/2014 08:00,2.55
05/01/2014 09:00,2.6
05/01/2014 10:00,3.2
05/01/2014 11:00,3.1
05/01/2014 12:00,3.3
05/01/2014 13:00,3.4
05/01/2014 14:00,3.05
